user,"Unspoken expectations are premeditated resentments. Jesus Christ. Neil Strauss, the guy that wrote the game, who is now kind of this super aligned, awakened family man. Awesome quote from him. You're talking about that. I will maybe keep my feelings to myself. I won't really mention something that's either bugging me or that I wish that I would bring up, but you get the sense that the other person should know or might know or could know or whatever. And after a while, you almost end up building a conversation with yourself about the thing that you never said to the person who didn't know it. ",Unspoken Expectations Are Premeditated Resentments | Mike Thurston,60,29391
user,"The real breakthrough. things happen backwards, which is Viagra, penicillin. What happened was it was intended as an angina remedy, Viagra. And there are two stories about it, one of which is that the nurses noticed people on the trial when they came in for their kind of checkup. They were sitting in a really weird way. The other story I've heard is that at the end of the trial, they were told, well, could you hand back any unused pills you have? To which the response in every previous trial had been, yes, sure, here they are. And at this trial, they went, no! There's also a fascinating story, which is that a German pharmaceutical company got there first, noticed the side effect, and immediately rejected the drug. In other words, any angina cure that caused people to go around in a priapic state of tumescence was obviously no good as an angina medication, and they failed to see beyond it, which is that. ",How Viagra Was Accidentally Invented | Rory Sutherland,60,47312
user,"I dated a professional athlete, great at what he does. There's not a lot of room for emotion to be involved. It's either true or it's not true or you're gonna get your neck broken. He could date whoever he wanted or sleep with whoever he wanted. And we were like arguing about something and I was like, well, why would you date me if like, I'm the person you date if you want like a challenge? And he just went, why would any man want a challenge in their relationship? In that moment was like, Oh my God, I thought it was like hot to you. I thought it was like what guys wanted. I thought it was like feisty. Like I apologize. ",Should You Be Challenged In A Relationship? |  Whitney Cummings,60,30222
assistant,"Well, especially if you're dating somebody that is high-performing in any realm has goals. If you're working that hard in the office, you really want to come home and be like, right, there's that to-do list done. I wonder what fires I need to fight when I step through the front door as well. ",Should You Be Challenged In A Relationship? |  Whitney Cummings,30442,43529
user,"I won't post selfies online. But the point where I realised I didn't want to post selfies was just after I ran over the finish line of a marathon a couple of years ago. And at that point I think I had maybe ten thousand followers on Twitter and I took a photo of myself having crossed the finish line looking like hell. I nearly pressed send and then I was like, whoa, don't do that. I did not post the selfie of myself having just crossed the finish line. Because I realised if I did, probably seventy five percent of the people who follow me would say, great, well done, congratulations. And I get lots of love. The other twenty five percent would be the people who hate follow. There would have been one mean comment which would have just crushed me and it would have ruined my day. And I thought, what's the easiest way of not experiencing that one mean comment? Don't post the picture. But it's more than that, it's also that it exposes something intimate and personal. That moment was for me and it was for my family and for the people who supported me. It wasn't for general consumption. No selfies. No selfies, no pictures of my home. No pictures of my child, no pictures of my husband. No discussing my husband, my child, or my home, except in the most general terms. I have no right to mine that for content. ",What Is Digital Modesty? | Mary Harrington,60,56260
user,"Oliver Berkman has this other idea about choosing in advance what you're going to suck at. For a period of time, you're going to work on your business, and you're going to grow your net worth, or you're going to try and double the revenue of your business, or you're going to try and get a raise, or get a promotion, or do whatever. That period of life, just as important as what you're going to do, is what you're prepared to sacrifice. or if you need to stay late in the office three nights a week for the next six months so that your boss sees the work that you're doing or so that you get more sales in, your training's probably gonna take a hit. And when you start to see your condition or your fitness depreciate over time, if you're a Type A go-getter, you can feel uncomfortable and say, that shouldn't be happening, and then you take your eye off the ball of the thing that was supposed to be your thing for the next six months, and then go, I'll only stay late in the office one night a week, and I'll fit training, I'll slot training in two more nights. That wasn't the plan. The plan was put everything into this one thing, level myself up, and then play catch up with everything else to bring myself back up to baseline. Choosing in advance what you want to suck at is like a really, really good tactic. That thing that sucks at the moment, it's not going to suck later on. Precisely. But you can easily switch out the suck. Yeah. ",Choose In Advance What You're Gonna Suck At | Mike Thurston,60,57801
user,"the brain and body are intimately linked. If you want to improve your body, do something for your mind. If you want to improve your mind, do something for your body. At a macro level, it's clear that we should all be getting that hundred and fifty to two hundred minutes of zone two per week or walking a lot. If you live in a big city, you're probably getting that. But then also getting your heart rate up to max heart rate once a week, doing some sprint type stuff in whatever format is safe for your body. Some people it's swimming, some people it's rowing, some people it's running. And then everyone should be doing at least six sets of resistance training per muscle group per week, minimum, hard sets. To failure, okay, maybe, maybe not close to failure, yeah, probably. And especially the groups that have been, let's just say, averse to weight training, right? Typically women, older folks, although now more women weight train, because they understand that in the absence of a lot of injected or prescription anabolic hormones, they're not going to get enormous. ",Training Regimen To Sharpen Your Mind | Andrew Huberman,60,44743
user,"I want to feel more like a man when I've still got kind of the body of a boy. I want to be more attractive to women and I want to be more comfortable. All of these things are the pure, beautiful reasons why guys start going to the gym. ",The Beautiful Reasons Why Men Go To The Gym  | Mike Thurston,140,10372
assistant,"I don't understand why all men don't want to try and improve their physique and the way they look. So much of what I have achieved has come from a physique. It's crazy how many doors it's opened for me, but at the same time, the confidence that it gives you. If you are unhappy about your life or there's something not going right, the easiest thing you can do is just to at least try and sort out your physical appearance. And usually once you sort that out, good things start coming after that. ",The Beautiful Reasons Why Men Go To The Gym  | Mike Thurston,10452,33106
user,"Bars set pretty low as well. If you do push per leg split three times a week for a year, you're probably in the top one percent as well. ",The Beautiful Reasons Why Men Go To The Gym  | Mike Thurston,33267,39013
